Temps: 318989.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -79.30 °, Vent: 317.55 °, 3.13 m/s, Rudder: -6 °, Sail: 0 °, Control: AUTO
Temps: 319115.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.90 °, Vent: 317.55 °, 3.13 m/s, Rudder: -3 °, Sail: 0 °, Control: AUTO
Temps: 319230.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -75.00 °, Vent: 317.55 °, 3.13 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 319311.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -73.50 °, Vent: 317.55 °, 3.13 m/s, Rudder: 5 °, Sail: 0 °, Control: AUTO
Temps: 319413.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -72.00 °, Vent: 317.55 °, 3.13 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
Temps: 319494.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.40 °, Vent: 317.55 °, 3.13 m/s, Rudder: 11 °, Sail: 0 °, Control: AUTO
Temps: 319594.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.90 °, Vent: 317.55 °, 3.13 m/s, Rudder: 12 °, Sail: 0 °, Control: AUTO
Temps: 319721.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -73.10 °, Vent: 317.55 °, 3.13 m/s, Rudder: 11 °, Sail: 0 °, Control: AUTO
Temps: 319835.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -75.60 °, Vent: 317.55 °, 3.13 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
Temps: 319916.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.20 °, Vent: 317.55 °, 3.13 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 319995.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -78.80 °, Vent: 317.55 °, 3.13 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 320097.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -81.20 °, Vent: 326.17 °, 2.68 m/s, Rudder: -2 °, Sail: 0 °, Control: AUTO
Temps: 320178.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -82.60 °, Vent: 326.17 °, 2.68 m/s, Rudder: -7 °, Sail: 0 °, Control: AUTO
Temps: 320304.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -84.00 °, Vent: 326.17 °, 2.68 m/s, Rudder: -10 °, Sail: 0 °, Control: AUTO
Temps: 320400.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -84.80 °, Vent: 326.17 °, 2.68 m/s, Rudder: -12 °, Sail: 0 °, Control: AUTO
Temps: 320500.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -84.80 °, Vent: 326.17 °, 2.68 m/s, Rudder: -14 °, Sail: 0 °, Control: AUTO
Temps: 320581.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -84.60 °, Vent: 326.17 °, 2.68 m/s, Rudder: -14 °, Sail: 0 °, Control: AUTO
Temps: 320662.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -84.10 °, Vent: 326.17 °, 2.68 m/s, Rudder: -14 °, Sail: 0 °, Control: AUTO
Temps: 320763.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -83.00 °, Vent: 326.17 °, 2.68 m/s, Rudder: -13 °, Sail: 0 °, Control: AUTO
Temps: 320889.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -82.00 °, Vent: 326.17 °, 2.68 m/s, Rudder: -10 °, Sail: 0 °, Control: AUTO
Temps: 320985.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -79.30 °, Vent: 326.17 °, 2.68 m/s, Rudder: -8 °, Sail: 0 °, Control: AUTO
Temps: 321065.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -77.60 °, Vent: 326.17 °, 2.68 m/s, Rudder: -3 °, Sail: 0 °, Control: AUTO
Temps: 321167.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -75.10 °, Vent: 326.17 °, 2.68 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 321248.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -73.50 °, Vent: 326.17 °, 2.68 m/s, Rudder: 4 °, Sail: 0 °, Control: AUTO
Temps: 321328.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -72.10 °, Vent: 326.17 °, 2.68 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
Temps: 321475.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -71.30 °, Vent: 326.17 °, 2.68 m/s, Rudder: 10 °, Sail: 0 °, Control: AUTO
Temps: 321570.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -72.00 °, Vent: 326.17 °, 2.68 m/s, Rudder: 12 °, Sail: 0 °, Control: AUTO
Temps: 321651.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -73.00 °, Vent: 326.17 °, 2.68 m/s, Rudder: 11 °, Sail: 0 °, Control: AUTO
Temps: 321732.00 s, Lat: 52.429153 °, Lon: -1.946073 °, Cap: -74.50 °, Vent: 326.17 °, 2.68 m/s, Rudder: 9 °, Sail: 0 °, Control: AUTO
Temps: 321832.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -76.60 °, Vent: 326.17 °, 2.68 m/s, Rudder: 6 °, Sail: 0 °, Control: AUTO
Temps: 321913.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -78.10 °, Vent: 326.17 °, 2.68 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 322041.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -79.30 °, Vent: 326.17 °, 2.68 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 322156.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -83.40 °, Vent: 326.17 °, 2.68 m/s, Rudder: 30 °, Sail: 0 °, Control: AUTO
Temps: 322256.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -88.30 °, Vent: 326.17 °, 2.68 m/s, Rudder: 26 °, Sail: 0 °, Control: AUTO
Temps: 322337.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -92.30 °, Vent: 326.17 °, 2.68 m/s, Rudder: 17 °, Sail: 0 °, Control: AUTO
Temps: 322418.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -96.30 °, Vent: 333.53 °, 2.24 m/s, Rudder: 9 °, Sail: 0 °, Control: AUTO
Temps: 322519.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -100.50 °, Vent: 333.53 °, 2.24 m/s, Rudder: 1 °, Sail: 0 °, Control: AUTO
Temps: 322648.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -103.00 °, Vent: 333.53 °, 2.24 m/s, Rudder: -7 °, Sail: 0 °, Control: AUTO
Temps: 322761.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -105.40 °, Vent: 333.53 °, 2.24 m/s, Rudder: -12 °, Sail: 0 °, Control: AUTO
Temps: 322842.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -105.40 °, Vent: 333.53 °, 2.24 m/s, Rudder: -17 °, Sail: 0 °, Control: AUTO
Temps: 322942.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -104.20 °, Vent: 333.53 °, 2.24 m/s, Rudder: -17 °, Sail: 0 °, Control: AUTO
Temps: 323023.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -102.10 °, Vent: 333.53 °, 2.24 m/s, Rudder: -14 °, Sail: 0 °, Control: AUTO
Temps: 323104.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -100.00 °, Vent: 333.53 °, 2.24 m/s, Rudder: -10 °, Sail: 0 °, Control: AUTO
Temps: 323252.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -96.60 °, Vent: 333.53 °, 2.24 m/s, Rudder: -6 °, Sail: 0 °, Control: AUTO
Temps: 323366.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -92.20 °, Vent: 333.53 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 323447.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -90.40 °, Vent: 333.53 °, 2.24 m/s, Rudder: 9 °, Sail: 0 °, Control: AUTO
Temps: 323528.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -89.50 °, Vent: 333.53 °, 2.24 m/s, Rudder: 12 °, Sail: 0 °, Control: AUTO
Temps: 323630.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -89.40 °, Vent: 333.53 °, 2.24 m/s, Rudder: 14 °, Sail: 0 °, Control: AUTO
Temps: 323709.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -89.80 °, Vent: 333.53 °, 2.24 m/s, Rudder: 14 °, Sail: 0 °, Control: AUTO
Temps: 323837.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -90.70 °, Vent: 333.53 °, 2.24 m/s, Rudder: 14 °, Sail: 0 °, Control: AUTO
Temps: 323952.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -92.40 °, Vent: 333.53 °, 2.24 m/s, Rudder: 12 °, Sail: 0 °, Control: AUTO
Temps: 324033.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -93.50 °, Vent: 333.53 °, 2.24 m/s, Rudder: 8 °, Sail: 0 °, Control: AUTO
Temps: 324114.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -94.90 °, Vent: 333.53 °, 2.24 m/s, Rudder: 6 °, Sail: 0 °, Control: AUTO
Temps: 324195.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -96.40 °, Vent: 333.53 °, 2.24 m/s, Rudder: 3 °, Sail: 0 °, Control: AUTO
Temps: 324295.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -97.90 °, Vent: 333.53 °, 2.24 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
Temps: 324423.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -98.50 °, Vent: 333.53 °, 2.24 m/s, Rudder: -2 °, Sail: 0 °, Control: AUTO
Temps: 324538.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -98.90 °, Vent: 333.53 °, 2.24 m/s, Rudder: -3 °, Sail: 0 °, Control: AUTO
Temps: 324618.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -98.90 °, Vent: 333.53 °, 2.24 m/s, Rudder: -4 °, Sail: 0 °, Control: AUTO
Temps: 324719.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -98.30 °, Vent: 330.21 °, 2.68 m/s, Rudder: -4 °, Sail: 0 °, Control: AUTO
Temps: 324800.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -97.70 °, Vent: 330.21 °, 2.68 m/s, Rudder: -2 °, Sail: 0 °, Control: AUTO
Temps: 324900.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -96.90 °, Vent: 330.21 °, 2.68 m/s, Rudder: -1 °, Sail: 0 °, Control: AUTO
Temps: 325042.00 s, Lat: 52.429279 °, Lon: -1.946077 °, Cap: -95.60 °, Vent: 330.21 °, 2.68 m/s, Rudder: 0 °, Sail: 0 °, Control: AUTO
